;;;;;;;;;;;;;;;;Hektar ;;
Bölge Müdürlüğü;Yıl                Year;İhmal  ;;;;;;;Kasıt;;;;Kaza   ;;;;                    ; 
;;Anız;Çöplük;Avcılık ;Çoban_Ateşi;Sigara;Piknik;Diğer ;Terör;Kundaklama     Incension;Açma;Diğer;Enerji;Trafik;Diğer;Faili_meçhul ;Doğal   ;Toplam
Ş.Urfa;2024;7,982;1;116,894;;11,897;0,934;82;Terör Terror;3;-;0,78;70,165;-;17,05;710,625;19,382;1041,709
Trabzon;2013;101,29;-;-;-;-;-;-;Terör Terror;-;1;-;0,4;-;-;60,05;166,41;329,15
Trabzon;2014;113,53;-;-;-;-;-;-;Terör Terror;-;-;-;-;-;-;149,9;5;268,43
Trabzon;2015;41,04;-;-;-;0,4;-;-;Terör Terror;-;-;-;11;-;6,4;79,13;3;140,97
Trabzon;2016;35,4;-;-;-;4;-;-;Terör Terror;-;-;-;6,1;-;-;14,2;-;59,7
Trabzon;2017;110,39;-;-;-;-;-;-;Terör Terror;-;-;-;-;-;8,21;53,72;-;172,32
Trabzon;2018;30,7;-;-;-;-;-;-;Terör Terror;-;-;-;-;-;-;0,84;-;31,54
Trabzon;2019;76,78;-;-;-;-;-;;Terör Terror;-;-;138;-;-;-;229,02;-;443,8
Trabzon;2020;51,94;-;-;-;-;-;-;Terör Terror;-;-;11,5;2;-;-;34,67;-;100,11
Trabzon;2021;89,11;-;-;-;0,68;-;25,95;Terör Terror;-;-;-;-;-;-;78,83;0,05;194,62
Trabzon;2022;5,19;-;-;-;-;-;1,01;Terör Terror;-;-;3;-;-;-;16,25;-;25,45
Trabzon;2023;9;-;-;-;-;-;1;Terör Terror;-;-;-;1;-;-;49;12;72
Trabzon;2024;32,918;-;-;;1,545;-;17;Terör Terror;-;-;-;-;-;-;35,56;0,036;87,059
Zonguldak;2013;4,44;-;-;0,04;2,31;1,5;-;Terör Terror;-;-;0,08;0,09;3,5;3,6;40,32;56,67;112,55
Zonguldak;2014;4,25;0,04;-;-;0,2;-;-;Terör Terror;-;-;-;0;1;0;12,72;0;18,21
Zonguldak;2015;52,18;2,02;-;-;1,92;0,04;-;Terör Terror;-;-;-;44,42;-;-;6,58;3,62;110,78
Zonguldak;2016;1,53;2;-;0,6;0,16;0,2;-;Terör Terror;-;0,33;-;-;-;-;21,13;1,4;27,35
Zonguldak;2017;1,62;0,33;-;0,3;0,51;0,39;-;Terör Terror;-;-;-;2,6;-;-;;14,05;19,8
Zonguldak;2018;8,26;-;-;-;-;-;-;Terör Terror;-;-;-;2,26;-;0,07;3;0,19;13,78
Zonguldak;2019;4,1;1,8;-;-;-;-;;Terör Terror;-;-;-;0,55;-;0,03;2,98;1,13;10,59
Zonguldak;2020;47,2;-;-;0,13;0,01;-;10,4;Terör Terror;-;-;-;2,7;2,25;-;20,43;2,33;85,45
Zonguldak;2021;0,37;-;-;-;-;-;0,54;Terör Terror;-;-;-;0,02;-;48,8;12,1;0,17;62
Zonguldak;2022;0,03;-;-;0,03;-;-;0,01;Terör Terror;-;-;0,01;0,1;-;-;2,76;0,06;3
Zonguldak;2023;-;-;-;-;-;-;1;Terör Terror;-;-;-;-;-;-;15;2;18
Zonguldak;2024;2,94;-;-;;-;-;-;Terör Terror;-;-;-;-;-;-;119,45;22,642;145,032
DKMPGM;2021;-;-;-;52,4;-;-;0,6;Terör Terror;-;-;8,96;408;-;-;9304;0,9;9774,86
DKMPGM;2022;-;-;-;-;-;-;460,34;Terör Terror;-;-;2;2;-;0,05;9,71;0,07;474,17
DKMPGM;2023;-;-;-;-;-;-;-;Terör Terror;-;-;3;1;-;-;400;3;407
DKMPGM;2024;401,546;-;0,01;;-;2,146;0,403;Terör Terror;-;-;4,77;843,184;-;0,1;33,033;1,249;1286,441
Not:Tarım ve Orman Bakanlığı Doğa Koruma ve Milli Parklar Genel Müdürlüğü (DKMPGM) sorumluluğunda bulunan millipark, tabiat parkı gibi sahalarda meydana gelen yangın verileri ayrı bir başlık altında sınıflandırılmıştır.;;;;;;;;;;;;;;;;;;
